"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
111, 3.260000050100000e-02, 2.948109446637338e-02, 2.423078586118022e-02, -1.038389254365724e-01, -4.380791836920802e-01, 7.058753800599286e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.001442830754393e-03
112, 3.844000026600000e-02, 3.171811260404538e-02, 2.582349991227184e-02, -1.293829533976766e-01, -4.018028002120025e-01, 7.443145897505096e-03, 0.000000000000000e+00, 0.000000000000000e+00, 8.022814309096468e-04
113, 4.473999887700000e-02, 3.389028465845557e-02, 2.698537647614153e-02, -1.492866059077810e-01, -3.681264393813569e-01, 7.729737869867857e-03, 0.000000000000000e+00, 0.000000000000000e+00, 2.314884193074140e-04
114, 5.149000138000000e-02, 3.599337852580232e-02, 2.782122792531675e-02, -1.648371918619317e-01, -3.369651586031798e-01, 7.936547608187230e-03, 0.000000000000000e+00, 0.000000000000000e+00, 6.277429245481763e-05
115, 5.869000032500000e-02, 3.802635805630503e-02, 2.841624177159901e-02, -1.770391607586240e-01, -3.081862818756971e-01, 8.081314463416363e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.459198633354411e-04
116, 6.633000075800000e-02, 3.998513962421356e-02, 2.881033014467826e-02, -1.865018340604138e-01, -2.815515034163306e-01, 8.178153603163743e-03, 0.000000000000000e+00, 0.000000000000000e+00, -5.750743127643656e-04
117, 7.440000027400000e-02, 4.186607976498817e-02, 2.904864062354833e-02, -1.938015748889169e-01, -2.568439237978680e-01, 8.235441850903986e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.235749178092345e-04
118, 8.290000259900000e-02, 4.366791468532204e-02, 2.917642832278218e-02, -1.994377385565709e-01, -2.339429455556916e-01, 8.266128464384018e-03, 0.000000000000000e+00, 0.000000000000000e+00, -4.504639287457145e-04
119, 9.181000292300000e-02, 4.538527151431038e-02, 2.921144807419972e-02, -2.036982844367309e-01, -2.125984228443467e-01, 8.264574634621970e-03, 0.000000000000000e+00, 0.000000000000000e+00, -4.315799678435431e-04
120, 1.011300012470000e-01, 4.701715290498424e-02, 2.916281860928642e-02, -2.067528439374388e-01, -1.927095446422135e-01, 8.245406268855553e-03, 0.000000000000000e+00, 0.000000000000000e+00, -4.795592879459341e-04
121, 1.108499988910000e-01, 4.856066993422563e-02, 2.903941464748466e-02, -2.087695021349119e-01, -1.740804116658638e-01, 8.205332758041698e-03, 0.000000000000000e+00, 0.000000000000000e+00, -5.566552173454204e-04
