"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,         226,      -5.200084918,      -3.123705551,      -2.643540736,      0.2802031431,      -7.052383412
          0,           0,         227,      -5.209099943,      -3.140770746,      -2.668693908,      0.2711483591,      -7.052461508
          0,           0,         228,      -5.190683308,      -3.153363946,      -2.664070679,      0.2895791109,      -7.052590785
          0,           0,         229,      -5.183587325,      -3.156012548,       -2.67323445,      0.2966653594,      -7.052772622
          0,           0,         230,      -5.188575395,      -3.166634693,      -2.663323325,      0.2916674174,      -7.052989088
          0,           0,         231,      -5.186703214,      -3.168921808,      -2.688075498,      0.2935670804,      -7.053234706
          0,           0,         232,      -5.192872544,      -3.166019267,       -2.65730731,      0.2873894893,      -7.053508921
          0,           0,         233,      -5.208674056,      -3.169348542,      -2.677906943,      0.2714924153,      -7.053797517
          0,           0,         234,      -5.213889043,      -3.160752929,       -2.66906705,      0.2662649468,       -7.05411951
          0,           0,         235,      -5.208598602,      -3.146522826,      -2.663723491,      0.2714569793,      -7.054464576
          0,           0,         236,      -5.222684874,      -3.136553744,      -2.661591159,       0.257310707,      -7.054812992
          0,           0,         237,      -5.245004083,      -3.128929189,      -2.666115742,      0.2350440221,      -7.055154726
          0,           0,         238,      -5.246157935,      -3.125478104,      -2.647276897,      0.2337913771,      -7.055484837
          0,           0,         239,      -5.257319223,      -3.119205442,      -2.652880845,      0.2225961922,      -7.055812098
          0,           0,         240,      -5.267495353,      -3.117979245,      -2.652041651,      0.2123291193,      -7.056136546
          0,           0,         241,      -5.269794184,      -3.113492801,       -2.64911968,      0.2100059029,      -7.056434964
          0,           0,         242,      -5.278775504,      -3.115819638,      -2.654804036,      0.2011116044,      -7.056699822
          0,           0,         243,      -5.285152609,      -3.120983909,      -2.662466801,      0.1946643842,      -7.056945895
          0,           0,         244,      -5.252039147,      -3.124786027,       -2.64247019,      0.2278424458,      -7.057180148
          0,           0,         245,      -5.244008942,      -3.136390179,      -2.671936182,      0.2358926871,      -7.057379351
          0,           0,         246,      -5.255422429,      -3.146100336,      -2.663934398,      0.2245112734,      -7.057538769
          0,           0,         247,      -5.248798293,       -3.16133375,      -2.674513003,      0.2312344976,      -7.057672974
